task_id,run_name,phase,phase_label,launch_group,queue_status,branch_family,method_family,artifact_kind,comparability_class,framework,artifact_dir,metrics_path,source_run_name,source_reference,notes
a30surr__active_sequential_default_20260425,a30surr__active_sequential_default_20260425,phaseSURR_active,phaseSURR_active,,COMPLETED,active_sequential,simulator_active_surrogate_current_selection,active_sequential,assumption_conditioned_surrogate_active_design_a30,,runs/phaseSURR_active/active_sequential_default_20260425,,a30surr__active_sequential_default_20260425,,expected pairwise Euclidean disagreement between posterior predictive feature draws
a30surr__active_sequential_disagreement_extended_20260428,a30surr__active_sequential_disagreement_extended_20260428,phaseSURR_active,phaseSURR_active,,COMPLETED,active_sequential,simulator_active_surrogate_current_selection,active_sequential,assumption_conditioned_surrogate_active_design_a30,,runs/phaseSURR_active/active_sequential_disagreement_extended_20260428,,a30surr__active_sequential_disagreement_extended_20260428,,expected pairwise Euclidean disagreement between posterior predictive feature draws
a30surr__active_sequential_disagreement_full_20260425,a30surr__active_sequential_disagreement_full_20260425,phaseSURR_active,phaseSURR_active,,COMPLETED,active_sequential,simulator_active_surrogate_current_selection,active_sequential,assumption_conditioned_surrogate_active_design_a30,,runs/phaseSURR_active/active_sequential_disagreement_full_20260425,,a30surr__active_sequential_disagreement_full_20260425,,expected pairwise Euclidean disagreement between posterior predictive feature draws
a30surr__active_sequential_smoke_20260425,a30surr__active_sequential_smoke_20260425,phaseSURR_active,phaseSURR_active,,COMPLETED,active_sequential,simulator_active_surrogate_current_selection,active_sequential,assumption_conditioned_surrogate_active_design_a30,,runs/phaseSURR_active/active_sequential_smoke_20260425,,a30surr__active_sequential_smoke_20260425,,expected pairwise Euclidean disagreement between posterior predictive feature draws
a30surr__active_sequential_uncertainty_extended_20260428,a30surr__active_sequential_uncertainty_extended_20260428,phaseSURR_active,phaseSURR_active,,COMPLETED,active_sequential,simulator_active_surrogate_current_selection,active_sequential,assumption_conditioned_surrogate_active_design_a30,,runs/phaseSURR_active/active_sequential_uncertainty_extended_20260428,,a30surr__active_sequential_uncertainty_extended_20260428,,mean marginal posterior predictive standard deviation over the surrogate trace feature bank
a30surr__active_sequential_uncertainty_full_20260425,a30surr__active_sequential_uncertainty_full_20260425,phaseSURR_active,phaseSURR_active,,COMPLETED,active_sequential,simulator_active_surrogate_current_selection,active_sequential,assumption_conditioned_surrogate_active_design_a30,,runs/phaseSURR_active/active_sequential_uncertainty_full_20260425,,a30surr__active_sequential_uncertainty_full_20260425,,mean marginal posterior predictive standard deviation over the surrogate trace feature bank
a30surr__active_sequential_uncertainty_smoke_20260428,a30surr__active_sequential_uncertainty_smoke_20260428,phaseSURR_active,phaseSURR_active,,COMPLETED,active_sequential,simulator_active_surrogate_current_selection,active_sequential,assumption_conditioned_surrogate_active_design_a30,,runs/phaseSURR_active/active_sequential_uncertainty_smoke_20260428,,a30surr__active_sequential_uncertainty_smoke_20260428,,mean marginal posterior predictive standard deviation over the surrogate trace feature bank
a30surr__active_sequential_wasserstein_extended_20260428,a30surr__active_sequential_wasserstein_extended_20260428,phaseSURR_active,phaseSURR_active,,COMPLETED,active_sequential,simulator_active_surrogate_current_selection,active_sequential,assumption_conditioned_surrogate_active_design_a30,,runs/phaseSURR_active/active_sequential_wasserstein_extended_20260428,,a30surr__active_sequential_wasserstein_extended_20260428,,mean pairwise projected 1-Wasserstein disagreement across posterior predictive feature draws
a30surr__active_sequential_wasserstein_full_20260425,a30surr__active_sequential_wasserstein_full_20260425,phaseSURR_active,phaseSURR_active,,COMPLETED,active_sequential,simulator_active_surrogate_current_selection,active_sequential,assumption_conditioned_surrogate_active_design_a30,,runs/phaseSURR_active/active_sequential_wasserstein_full_20260425,,a30surr__active_sequential_wasserstein_full_20260425,,mean pairwise projected 1-Wasserstein disagreement across posterior predictive feature draws
a30surr__active_sequential_wasserstein_smoke_20260425,a30surr__active_sequential_wasserstein_smoke_20260425,phaseSURR_active,phaseSURR_active,,COMPLETED,active_sequential,simulator_active_surrogate_current_selection,active_sequential,assumption_conditioned_surrogate_active_design_a30,,runs/phaseSURR_active/active_sequential_wasserstein_smoke_20260425,,a30surr__active_sequential_wasserstein_smoke_20260425,,mean pairwise projected 1-Wasserstein disagreement across posterior predictive feature draws
